iter	Passed	Remaining
662	28248	99571
663	28289	99524
664	28341	99513
665	28388	99487
666	28440	99476
667	28486	99448
668	28540	99443
669	28582	99399
670	28621	99344
671	28663	99297
672	28706	99255
673	28742	99192
674	28787	99156
675	28828	99107
676	28866	99049
677	28907	99002
678	28945	98943
679	28988	98902
680	29030	98855
681	29071	98808
682	29116	98775
683	29164	98748
684	29204	98699
685	29245	98651
686	29288	98609
687	29328	98558
688	29368	98507
689	29405	98445
690	29454	98424
691	29513	98435
692	29564	98418
693	29614	98402
694	29667	98392
695	29718	98378
696	29758	98326
697	29798	98273
698	29841	98233
699	29884	98191
700	29926	98145
701	29973	98117
702	30015	98074
703	30063	98048
704	30116	98037
705	30164	98013
706	30216	97999
707	30264	97974
708	30326	97995
709	30383	97998
710	30431	97972
711	30473	97924
712	30513	97875
713	30555	97827
714	30600	97793
715	30644	97755
716	30685	97707
717	30733	97680
718	30780	97650
719	30824	97609
720	30875	97595
721	30923	97566
722	30968	97530
723	31011	97489
724	31052	97440
725	31090	97384
726	31134	97343
727	31173	97288
728	31210	97228
729	31254	97188
730	31306	97175
731	31353	97143
732	31397	97103
733	31440	97062
734	31490	97042
735	31549	97049
736	31606	97049
737	31658	97034
738	31710	97020
739	31763	97007
740	31814	96988
741	31869	96983
742	31921	96966
743	31973	96952
744	32028	96943
745	32082	96936
746	32124	96890
747	32166	96843
748	32210	96803
749	32252	96756
750	32299	96726
751	32342	96684
752	32387	96647
753	32431	96605
754	32477	96573
755	32522	96535
756	32570	96506
757	32615	96468
758	32657	96424
759	32702	96386
760	32751	96360
761	32812	96369
762	32862	96346
763	32914	96331
764	32967	96316
765	33016	96289
766	33066	96267
767	33106	96216
768	33146	96163
769	33187	96115
770	33232	96075
771	33269	96017
772	33311	95969
773	33357	95935
774	33404	95903
775	33462	95903
776	33509	95871
777	33554	95833
778	33599	95794
779	33641	95747
780	33686	95710
781	33731	95673
782	33775	95631
783	33817	95586
784	33858	95537
785	33906	95506
786	33948	95462
787	33987	95406
788	34028	95357
789	34072	95318
790	34115	95274
791	34167	95255
792	34215	95226
793	34257	95179
794	34304	95145
795	34347	95103
796	34392	95064
797	34433	95015
798	34474	94966
799	34512	94908
800	34549	94849
801	34591	94804
802	34637	94767
803	34680	94723
804	34718	94667
805	34757	94611
806	34797	94561
807	34841	94519
808	34881	94467
809	34918	94409
810	34958	94357
811	34997	94303
812	35037	94251
813	35080	94207
814	35124	94167
815	35163	94113
816	35201	94058
817	35238	93997
818	35277	93944
819	35317	93892
820	35353	93831
821	35393	93778
822	35433	93728
823	35479	93694
